Run ID,Name,Source Type,Source Name,User,Status,activation,context_specific,enc_k1,enc_k2,enc_kernel,mode,multiple_performers,spec_k1,spec_k2,spec_kernel,best_cont_val_loss,best_perfm_val_loss,cont_bal_acc,cont_train_loss,cont_val_loss,cont_val_loss_early_stop,epoch,final_weight_variance_kurt,final_weight_variance_mean,final_weight_variance_skew,final_weight_variance_var,perfm_test_avg,perfm_test_std,perfm_train_loss,perfm_val_loss,perfm_val_loss_early_stop,rec_test_0,rec_test_1,rec_test_2,rec_test_3,rec_test_4,rec_test_5,test_ami,train_loss,val_loss,weight_variance_kurt,weight_variance_mean,weight_variance_skew,weight_variance_var
5f5c29823a164a9196a1b4ddfd29f5c1,,LOCAL,run.py,federico,FINISHED,ReLU(),True,4,1,3,velocity,True,4,4,5,0.2782790958881378,0.11469198763370514,0.17631234228610992,0.27781322598457336,0.27829816937446594,0.27828672528266907,34,-1.5177571273194967,1.8546084490367318e-8,-0.6214697032528875,1.7720126699339537e-16,0.11013297736644745,0.09025102853775024,0.11578599363565445,0.11469411104917526,0.11469703167676926,0.007874015718698502,0.5,0,0,0.07500000298023224,0.4749999940395355,0.007821238599717617,0.39359909296035767,0.3929923176765442,-1.5177571773529053,1.8546083779824585e-8,-0.6214697360992432,1.7720126456417996e-16
996913651252447bb6784c432072ddb8,,LOCAL,run.py,federico,FINISHED,,False,4,1,3,velocity,False,4,4,5,,0.11709567159414291,,,,NaN,39,NaN,0,NaN,0,0.11116719245910645,0.08835191279649734,0.11536233872175217,0.11555750668048859,0.1174706444144249,,,,,,,0.0015979792224243283,0.11536233872175217,0.11555750668048859,NaN,0,NaN,0
e4e76d9d8e2d4632b79e2b0b1fc7aef9,,LOCAL,run.py,federico,FINISHED,ReLU(),False,4,1,3,velocity,True,4,4,3,,0.12188350409269333,,,,NaN,39,0.4730103163779229,0.0018496874789347545,1.343372829736576,0.0000034863352705891625,0.1149313747882843,0.09249044209718704,0.12127351015806198,0.12081097066402435,0.12188350409269333,,,,,,,0.023206735029816628,0.12127351015806198,0.12081097066402435,0.4730103015899658,0.0018496874254196882,1.3433728218078613,0.000003486335344859981
8d6764658c6747c39f70120a2023f626,,LOCAL,run.py,federico,FINISHED,ReLU(),True,4,1,3,velocity,False,4,4,3,0.27777788043022156,0.12340305000543594,0.1666666716337204,0.2777771055698395,0.2777778208255768,0.27777788043022156,39,NaN,0,NaN,0,0.11903384327888489,0.09038741141557693,0.12255789339542389,0.12335856258869171,0.1233738511800766,1,0,0,0,0,0,0.00906150322407484,0.4003356397151947,0.4011363685131073,NaN,0,NaN,0
b29f13a2dfdb467c8b72d56712a1ceb5,,LOCAL,run.py,federico,FINISHED,ReLU(),True,4,1,3,velocity,True,4,4,3,0.2778795063495636,0.12232315540313721,0.1666666716337204,0.2777771055698395,0.2777778208255768,0.27777791023254395,39,-0.9790175338008171,0.0025998362454598546,0.2110494983867928,0.0000031111130569892575,0.11678743362426758,0.09003086388111115,0.11748752743005753,0.12248251587152481,0.12231744080781937,1,0,0,0,0,0,0.009531264193356037,0.3952655494213104,0.4002603590488434,-0.9790175557136536,0.002599836327135563,0.21104949712753296,0.0000031111130738281645
de51d635ba1c45d78d667a4e1af11383,,LOCAL,run.py,federico,FINISHED,,False,4,1,3,velocity,False,4,4,3,,0.21284356713294983,,,,NaN,39,NaN,0,NaN,0,0.2216276079416275,0.12602996826171875,0.2161133587360382,0.21288634836673737,0.2129216194152832,,,,,,,0.0012445058673620224,0.2161133587360382,0.21288634836673737,NaN,0,NaN,0
3fd6f10db22b46f0a85cbc742ba794a2,,LOCAL,run.py,federico,FINISHED,ReLU(),False,4,1,3,velocity,True,4,2,5,,0.1226765513420105,,,,NaN,39,1.1999395194204512,0.0003128147375949619,1.7888205914404682,4.806019750754176e-7,0.11725600063800812,0.09260953962802887,0.12235851585865021,0.12260044366121292,0.12265042960643768,,,,,,,-0.004699100274592638,0.12235851585865021,0.12260044366121292,1.199939489364624,0.00031281475094147027,1.7888206243515015,4.806019546776952e-7
6df107f3de1347bf81638896ac57dae7,,LOCAL,run.py,federico,FINISHED,ReLU(),True,4,1,3,velocity,False,4,2,5,0.27782201766967773,0.13192477822303772,0.1556818187236786,0.2777771055698395,0.27795419096946716,0.2778224050998688,39,NaN,0,NaN,0,0.1374552845954895,0.12791140377521515,0.12651818990707397,0.1385265737771988,0.1327500343322754,0.9090909361839294,0,0.02500000037252903,0,0,0,0.009038859978318214,0.4042961299419403,0.41648074984550476,NaN,0,NaN,0
bead8c8506484ca0afa482291504453e,,LOCAL,run.py,federico,FINISHED,ReLU(),True,4,1,3,velocity,True,4,2,5,0.27513232827186584,0.48787689208984375,0.1666666716337204,0.27738505601882935,0.2751322090625763,0.27513232827186584,34,0.9408052749881288,69.97443014032456,1.6359146875471933,10018.034703450898,0.49346497654914856,0.14936064183712006,0.49608054757118225,0.48948144912719727,0.48763832449913025,1,0,0,0,0,0,4.709609065852317e-16,0.7734659910202026,0.764613687992096,0.9408052563667297,69.97443389892578,1.63591468334198,10018.03515625
5c8148022d7f42058b519606f7e0bde6,,LOCAL,run.py,federico,FINISHED,,False,4,1,3,velocity,False,4,2,5,,0.17505291104316711,,,,NaN,39,NaN,0,NaN,0,0.1826811581850052,0.1215265765786171,0.21398451924324036,0.17787684500217438,0.17682097852230072,,,,,,,0.008694736286997795,0.21398451924324036,0.17787684500217438,NaN,0,NaN,0
125cdfdf48e54e448baccdf69b8ea90c,,LOCAL,run.py,federico,FINISHED,ReLU(),False,4,1,3,velocity,True,4,2,3,,0.12256667762994766,,,,NaN,34,-1.3960744303260295,0.00000723365805364299,0.6499669378638265,6.36932588324778e-11,0.11712624132633209,0.09255772829055786,0.1224677711725235,0.12252547591924667,0.12253955006599426,,,,,,,0.006161174736917019,0.1224677711725235,0.12252547591924667,-1.3960744142532349,0.000007233657925098669,0.6499669551849365,6.36932590003525e-11
