run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.final_weight_variance_mean,metrics.perfm_val_loss_early_stop,metrics.cont_val_loss_early_stop,metrics.weight_variance_var,metrics.perfm_val_loss,metrics.perfm_test_std,metrics.final_weight_variance_kurt,metrics.weight_variance_kurt,metrics.weight_variance_mean,metrics.final_weight_variance_var,metrics.perfm_test_avg,metrics.val_loss,metrics.train_loss,metrics.test_ami,metrics.perfm_train_loss,metrics.best_perfm_val_loss,metrics.epoch,metrics.weight_variance_skew,metrics.final_weight_variance_skew,metrics.rec_test_2,metrics.cont_bal_acc,metrics.rec_test_5,metrics.best_cont_val_loss,metrics.cont_train_loss,metrics.rec_test_3,metrics.rec_test_4,metrics.cont_val_loss,metrics.rec_test_0,metrics.rec_test_1,params.enc_kernel,params.spec_kernel,params.enc_k2,params.enc_k1,params.spec_k2,params.context_specific,params.activation,params.mode,params.spec_k1,params.multiple_performers,tags.mlflow.source.name,tags.mlflow.user,tags.mlflow.source.type
360f5945032742939b8139b6f64eb9f6,2,FINISHED,/home/federico/mlruns/2/360f5945032742939b8139b6f64eb9f6/artifacts,2022-03-09 17:35:55.921000+00:00,2022-03-09 19:21:52.524000+00:00,2.2473471127743997e-13,0.2720845341682434,,8.759961142290091e-25,0.27200576663017273,0.21607887744903564,55.08056230155539,55.080562591552734,2.2473471380287519e-13,8.759961263402203e-25,0.2972046434879303,0.27200576663017273,0.2809944748878479,0.013413532637059689,0.2809944748878479,0.2720162868499756,34.0,7.3782057762146,7.378205853899285,,,,,,,,,,,5,5,3,4,4,False,ReLU(),pedaling,4,True,run.py,federico,LOCAL
6ecf4733d99a484cbad8030309e3c6c5,2,FINISHED,/home/federico/mlruns/2/6ecf4733d99a484cbad8030309e3c6c5/artifacts,2022-03-09 15:48:59.225000+00:00,2022-03-09 17:35:55.848000+00:00,0.0,0.30054423213005066,0.27777785062789917,0.0,0.29445382952690125,0.17390213906764984,,,0.0,0.0,0.28853127360343933,0.5722317695617676,0.5902280807495117,0.0030293618328869343,0.3124503791332245,0.2839045226573944,34.0,,,0.0,0.1666666716337204,0.0,0.27777785062789917,0.27777713537216187,0.0,0.0,0.27777785062789917,1.0,0.0,5,5,3,4,4,True,ReLU(),pedaling,4,False,run.py,federico,LOCAL
7f80c75673e842019b842aa7e95eb9c1,2,FINISHED,/home/federico/mlruns/2/7f80c75673e842019b842aa7e95eb9c1/artifacts,2022-03-09 13:48:29.496000+00:00,2022-03-09 15:48:59.152000+00:00,2.782930410216873e-13,0.2721196711063385,0.27743592858314514,1.3444492312733155e-24,0.2718777060508728,0.21593420207500458,58.535863144066376,58.53586196899414,2.782930407386336e-13,1.3444492120518032e-24,0.29767757654190063,0.5491061210632324,0.559377133846283,0.010592041537165642,0.28168508410453796,0.27209505438804626,39.0,7.568010330200195,7.568010140280641,0.1666666716337204,0.1863769292831421,0.2454545497894287,0.27731063961982727,0.27769193053245544,0.01666666753590107,0.3583333194255829,0.27722838521003723,0.28947368264198303,0.0416666679084301,5,5,3,4,4,True,ReLU(),pedaling,4,True,run.py,federico,LOCAL
31a29a03101e486fae89c3451b14a552,2,FINISHED,/home/federico/mlruns/2/31a29a03101e486fae89c3451b14a552/artifacts,2022-03-09 11:50:39.682000+00:00,2022-03-09 13:48:29.203000+00:00,0.0,0.27285197377204895,,0.0,0.2719839811325073,0.21188949048519135,,,0.0,0.0,0.288491427898407,0.2719839811325073,0.28107962012290955,-0.002215493004769087,0.28107962012290955,0.2728602886199951,39.0,,,,,,,,,,,,,5,5,3,4,4,False,,pedaling,4,False,run.py,federico,LOCAL
acd88941ed1949f3975234210a237621,2,FINISHED,/home/federico/mlruns/2/acd88941ed1949f3975234210a237621/artifacts,2022-03-09 09:49:39.719000+00:00,2022-03-09 11:50:39.656000+00:00,4.052274554733156e-09,0.28716224431991577,,1.252555132359319e-16,0.2889007031917572,0.205007404088974,41.0026231784239,41.00262451171875,4.052274515942145e-09,1.2525551508103266e-16,0.29539141058921814,0.2889007031917572,0.2884279191493988,0.015057212673127651,0.2884279191493988,0.2865563631057739,39.0,6.288873672485352,6.288873651720544,,,,,,,,,,,5,3,3,4,4,False,ReLU(),pedaling,4,True,run.py,federico,LOCAL
17f77962536d48039d13f4c1860c81ec,2,FINISHED,/home/federico/mlruns/2/17f77962536d48039d13f4c1860c81ec/artifacts,2022-03-09 07:00:05.914000+00:00,2022-03-09 09:49:39.640000+00:00,0.0,0.28756827116012573,0.2835821211338043,0.0,0.28971067070961,0.17810790240764618,,,0.0,0.0,0.2877142131328583,0.5732927322387695,0.5916138887405396,-0.001166006550192833,0.30960801243782043,0.28783825039863586,34.0,,,0.0,0.1666666716337204,0.0,0.2835821211338043,0.2820057272911072,0.0,0.0,0.28358206152915955,1.0,0.0,5,3,3,4,4,True,ReLU(),pedaling,4,False,run.py,federico,LOCAL
68df2e6b538e4e72a1012beb0c2cb5a1,2,FINISHED,/home/federico/mlruns/2/68df2e6b538e4e72a1012beb0c2cb5a1/artifacts,2022-03-09 05:55:58.202000+00:00,2022-03-09 07:00:05.833000+00:00,,,,,,,,,,,,,,-1.0,,inf,19.0,,,0.0,0.1666666716337204,0.0,inf,,0.0,0.0,,1.0,0.0,5,3,3,4,4,True,ReLU(),pedaling,4,True,run.py,federico,LOCAL
ccca645281634bb88795a792b3b2e484,2,FINISHED,/home/federico/mlruns/2/ccca645281634bb88795a792b3b2e484/artifacts,2022-03-09 03:57:50.040000+00:00,2022-03-09 05:55:57.905000+00:00,0.0,0.28127580881118774,,0.0,0.2826414108276367,0.20350033044815063,,,0.0,0.0,0.28974488377571106,0.2826414108276367,0.2893153429031372,0.0048619830049574375,0.2893153429031372,0.2801458537578583,39.0,,,,,,,,,,,,,5,3,3,4,4,False,,pedaling,4,False,run.py,federico,LOCAL
839a0f8e5b884a0ba4ab80d889330cf4,2,FINISHED,/home/federico/mlruns/2/839a0f8e5b884a0ba4ab80d889330cf4/artifacts,2022-03-09 02:06:15.644000+00:00,2022-03-09 03:57:50.020000+00:00,1.819070262004733e-13,0.29512229561805725,,2.461493775917603e-25,0.2932572066783905,0.20473763346672058,85.46007638452723,85.46007537841797,1.819070203712761e-13,2.4614937829507586e-25,0.3003261387348175,0.2932572066783905,0.2961653172969818,0.006562348455190659,0.2961653172969818,0.29317599534988403,36.0,9.021751403808594,9.021751232728327,,,,,,,,,,,5,5,3,4,2,False,ReLU(),pedaling,4,True,run.py,federico,LOCAL
c8aa41b3f8784cf08563322e13c4a653,2,FINISHED,/home/federico/mlruns/2/c8aa41b3f8784cf08563322e13c4a653/artifacts,2022-03-08 22:56:44.157000+00:00,2022-03-09 02:06:15.567000+00:00,0.0,0.28996241092681885,0.2772568166255951,0.0,0.28738483786582947,0.19871211051940918,,,0.0,0.0,0.29078251123428345,0.5650286674499512,0.5741086006164551,0.0016184874111786485,0.2963543236255646,0.2883942425251007,36.0,,,0.18571428954601288,0.1642063558101654,0.2571428716182709,0.27704769372940063,0.27775394916534424,0.0357142873108387,0.05000000074505806,0.27764376997947693,0.23999999463558197,0.21666666865348816,5,5,3,4,2,True,ReLU(),pedaling,4,False,run.py,federico,LOCAL
